SAMPLE_ID,식품명,식품상세분류,1회제공량,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
R000766-ZZ-AVG,"무순, 싹, 생것",채소류,100,20,94.8,1.89,1.01,1.82,0.67,1.7,36,0.3,26,52,55,15,0.27,0.01,0.186,1.67
R000767-ZZ-AVG,"무청, 왜무 잎, 생것",채소류,100,22,91.9,2.3,0.7,2.9,-,-,329,7.3,-,78,328,38,-,-,-,-
R000768-ZZ-AVG,"무청, 조선무 잎, 생것",채소류,100,31,88.9,2.9,0.2,6.1,-,-,341,11.5,-,85,388,154,-,-,-,-
R000769-ZZ-AVG,"무시래기, 잎, 말린것, 삶은것",채소류,100,23,93,1.58,0.27,4.68,0,4.3,108,1.46,9,12,-,91,0.17,0.036,0.086,1.29
R000770-ZZ-AVG,무 절임,채소류,100,22,93.7,0.44,0.21,4.89,3.54,1.4,14,0.29,4,13,115,219,0.02,0,0.117,6
R000771-ZZ-AVG,"단무지, 염절임",채소류,100,12,95.4,0.36,0.05,2.42,0.55,2.1,21,0.16,4,8,42,637,0.13,0.01,0.048,3.16
R000772-ZZ-AVG,무국물,채소류,100,1,99.7,-,0,0.3,-,0.6,3,0.3,-,3,6,3,-,-,-,-
R000773-ZZ-AVG,"무말랭이, 말린것",채소류,100,318,12.2,13.59,0.3,65.34,19.91,28.2,344,5.18,165,308,3108,303,2.5,0.108,0.631,7.15
R000774-ZZ-AVG,무말랭이 무침,채소류,100,136,63.2,3.3,1,28.5,-,7.8,101,18.1,-,63,379,1282,-,-,-,-
R000775-ZZ-AVG,"무장아찌, 뿌리",채소류,100,131,63.9,2.25,0.61,29.24,16.75,7.6,87,1.83,32,43,266,1073,0.48,0.089,0.492,17.84
R000776-ZZ-AVG,"쌈무, 초절임",채소류,100,15,95,0.54,0.03,3.1,1.48,2.3,16,0.16,5,10,138,400,0.08,0.004,0.037,1.07
R000777-ZZ-AVG,"물강활, 말린것",채소류,100,289,7.9,19.6,2.5,61.6,-,-,83,1.7,-,109,-,-,-,-,-,-
R000778-ZZ-AVG,"물냉이, 생것",채소류,100,23,91.5,3.5,0.1,3.7,-,-,105,9.1,-,48,57,28,-,-,-,-
R000779-ZZ-AVG,"물쑥, 생것",채소류,100,36,87,5.4,0.3,5.6,-,-,106,12.1,-,99,-,-,-,-,-,-
R000780-ZZ-AVG,"물쑥, 데친것",채소류,100,47,85.7,1.9,0.1,11.7,-,-,44,2.5,-,63,86,7,-,-,-,-
R000781-ZZ-AVG,"미나리, 농축",채소류,100,120,65.8,0.36,0,33.48,28.49,1.4,31,0.11,24,24,124,6,0.07,0.002,0.234,0.74
R000782-ZZ-AVG,"미나리, 돌미나리(야생), 생것",채소류,100,21,92.8,2.2,0.2,3.8,-,-,55,2,-,50,382,18,-,-,-,-
R000783-ZZ-AVG,"미나리, 돌미나리(야생), 데친것",채소류,100,19,93.1,2.3,0.2,3.2,-,-,35,1.3,-,30,347,7,-,-,-,-
R000784-ZZ-AVG,"미나리, 물미나리, 생것",채소류,100,22,92.7,1.81,0.25,4.45,2.69,3.5,45,0.39,23,52,271,5,0.23,0.048,0.482,0.71
R000785-ZZ-AVG,"미나리, 물미나리, 데친것",채소류,100,25,92.1,2.04,0.32,4.82,1.64,3.1,61,0.46,22,60,249,6,0.27,0.053,0.486,1.28
R000786-ZZ-AVG,"미나리, 물미나리, 잎, 생것",채소류,100,30,90.1,2.84,0.4,5.62,1.26,3.7,104,0.87,40,79,313,5,0.25,0.076,0.767,2.41
R000787-ZZ-AVG,"미나리, 물미나리, 줄기, 생것",채소류,100,22,93.1,0.9,0.16,5.15,1.43,3.1,34,0.29,16,49,267,6,0.25,0.039,0.377,0.68
R000788-ZZ-AVG,"미니파프리카, 주황색, 생것",채소류,100,38,89.5,0.97,0.79,8.22,6.28,-,9,0.68,9,23,240,3,0.29,0.066,0.171,0.93
R000789-ZZ-AVG,"미니파프리카, 노란색, 생것",채소류,100,41,89.1,1.01,1.09,8.32,8.8,-,9,0.51,9,25,241,2,0.33,0.103,0.181,1.06
R000790-ZZ-AVG,"미니파프리카, 빨간색, 생것",채소류,100,41,89,1.07,0.94,8.49,7.45,-,10,0.38,10,25,256,2,0.37,0.097,0.168,1.24
R000791-ZZ-AVG,"민들레, 생것",채소류,100,29,90.2,2.44,0.44,5.48,0,3.3,119,5.42,31,44,593,1,0.93,0.122,2.873,0.85
R000792-ZZ-AVG,"민들레, 데친것",채소류,100,30,90.5,2.18,0.51,5.74,0,4.6,115,1.44,24,38,396,1,0.74,0.123,2.917,0.92
R000793-ZZ-AVG,"바젤라, 생것",채소류,100,13,95.1,0.7,0.2,2.6,-,2.2,150,0.5,67,28,210,9,0.4,0.05,0.29,-
R000794-ZZ-AVG,"바젤라, 데친것",채소류,100,15,94.5,0.9,0.2,3.2,-,3.1,180,0.4,41,24,150,7,0.4,0.07,0.32,-
R000797-ZZ-AVG,"박, 과육, 생것",채소류,100,21,93.8,0.5,0.1,5.2,-,-,27,2.1,-,25,35,6,-,-,-,-
R000798-ZZ-AVG,"박, 씨 포함, 생것",채소류,100,32,90.4,1,0.1,8,-,-,14,2.2,-,46,46,5,-,-,-,-
R000799-ZZ-AVG,"박고지, 말린것",채소류,100,268,18.1,7.6,0.4,69,-,-,321,4.4,-,246,1075,14,-,-,-,-
R000800-ZZ-AVG,"박쥐나무, 잎, 생것",채소류,100,100,68,6.7,1.2,20.7,-,-,718,3.5,-,64,547,27,-,-,-,-
R000801-ZZ-AVG,"밥취나물, 말린것",채소류,100,282,9.7,21,4,55.2,-,-,77,2.1,-,134,-,-,-,-,-,-
R000802-ZZ-AVG,"방가지똥, 생것",채소류,100,46,85.2,2.5,0.4,10.3,-,-,39,4.4,-,34,324,5,-,-,-,-
R000803-ZZ-AVG,"방울다다기양배추, 생것",채소류,100,49,84.2,3.28,0.16,11.17,3.55,5.5,49,1.21,24,69,422,25,0.33,0.006,0.242,5.53
R000804-ZZ-AVG,"방울다다기양배추, 데친것",채소류,100,49,83.8,5.3,0.1,9.8,-,5.2,36,1,22,75,480,5,0.5,0.07,0.25,-
R000805-ZZ-AVG,"배암차즈기(곰보배추), 잎, 생것",채소류,100,25,92.2,1.73,0.62,4.5,1.44,2.1,88,2.5,16,31,391,7,0.59,0.108,0.345,0
R000806-ZZ-AVG,"배초향, 잎, 생것",채소류,100,55,81.7,4.87,0.46,11.13,1.68,6.4,237,3.8,64,69,625,2,1.21,0.17,2.973,0.81
R000807-ZZ-AVG,"배추, 생것",채소류,100,15,94.8,1.25,0.04,3.2,1.75,1.4,53,0.36,13,40,258,9,0.28,0.011,0.198,0.57
R000809-ZZ-AVG,"배추, 봄 재배, 생것",채소류,100,13,95.2,1.61,0.07,2.28,0.94,1.2,55,0.58,14,52,331,13,0.27,0.006,0.257,0.27
