SAMPLE_ID,식품명,식품상세분류,1회제공량,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
R000001-ZZ-AVG,"귀리, 겉귀리, 도정, 생것",곡류 및 그 제품,100,373,9.4,11.4,3.7,73.5,-,-,16,6.6,-,175,574,2,-,-,-,-
R000002-ZZ-AVG,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,100,371,9.7,14.3,3.8,70.4,-,-,18,7,-,183,385,3,-,-,-,-
R000003-ZZ-AVG,"귀리, 오트밀",곡류 및 그 제품,100,382,12,13.2,8.2,64.9,-,18.8,60,5.8,-,381,383,4,-,-,-,-
R000004-ZZ-AVG,"기장, 도정, 생것",곡류 및 그 제품,100,360,11.3,11.2,1.9,74.6,-,-,15,2.8,-,226,233,6,-,-,-,-
R000005-ZZ-AVG,"기장, 찰기장, 도정, 생것",곡류 및 그 제품,100,371,11.3,13.63,3.77,69.65,0.46,4.7,21,4.78,155,370,301,5,3.2,0.68,0.972,3.41
R000006-ZZ-AVG,"메밀, 도정, 생것",곡류 및 그 제품,100,363,13.1,13.64,3.38,67.84,0.5,6.3,21,2.78,244,453,444,1,3.09,0.541,1.469,3.16
R000007-ZZ-AVG,"메밀, 도정, 가루",곡류 및 그 제품,100,374,10.5,12.96,3.29,71.36,0.37,8.5,17,2.92,227,435,432,1,2.99,0.522,1.478,2.67
R000008-ZZ-AVG,"메밀 국수, 생것",곡류 및 그 제품,100,291,28.8,7.59,0.96,61.14,0,1.9,13,0.59,21,64,116,455,0.3,0.074,0.442,6.13
R000009-ZZ-AVG,"메밀 국수, 생것, 삶은것",곡류 및 그 제품,100,124,70.1,3.54,0.44,25.73,0,1.7,7,0.28,4,21,7,38,0.21,0.03,0.145,2.9
R000010-ZZ-AVG,"메밀 국수, 말린것",곡류 및 그 제품,100,372,8.3,13.58,1.27,74.41,2.77,4.6,28,2.54,83,173,198,707,1.64,0.36,1.388,7.03
R000011-ZZ-AVG,"메밀 국수, 말린것, 삶은것",곡류 및 그 제품,100,114,72.4,4.28,0.4,22.65,0,1.5,12,0.87,21,47,9,35,0.5,0.056,0.464,2.66
R000012-ZZ-AVG,"메밀 냉면, 말린것",곡류 및 그 제품,100,360,12.1,10.74,1.44,73.66,0,3.2,27,1.36,36,109,176,628,0.77,0.122,0.953,15.7
R000013-ZZ-AVG,"메밀 냉면, 말린것, 삶은것",곡류 및 그 제품,100,141,66.2,4.22,0.59,28.71,0,1.4,18,0.56,15,40,17,68,0.32,0.042,0.38,3.58
R000014-ZZ-AVG,"메밀묵, 생것",곡류 및 그 제품,100,58,85.6,0.86,0.23,12.8,0,1.7,7,1.45,13,24,38,120,0.13,0.031,0.119,3.45
R000015-ZZ-AVG,"메밀묵, 가루",곡류 및 그 제품,100,371,11,8.33,2.04,77.39,0.26,4.1,21,1.84,151,289,287,2,2.19,0.356,1.085,1.76
R000016-ZZ-AVG,"멥쌀, 배아미, 생것",곡류 및 그 제품,100,357,14.9,6.5,2,75.8,0.6,1.3,7,0.9,51,150,150,1,1.6,0.22,1.54,2
R000017-ZZ-AVG,"멥쌀, 백미, 생것",곡류 및 그 제품,100,363,13.4,6.4,0.4,79.5,-,-,7,1.3,-,87,170,8,-,-,-,-
R000018-ZZ-AVG,"멥쌀, 백미, 가루 ",곡류 및 그 제품,100,362,14,6.2,0.9,78.5,0.1,0.6,5,0.8,23,96,89,2,1,0.19,0.75,4
R000019-ZZ-AVG,"멥쌀, 칠분도미, 생것",곡류 및 그 제품,100,368,12.3,6.9,1.1,79.1,-,-,24,0.9,-,179,170,2,-,-,-,-
R000020-ZZ-AVG,"멥쌀, 고아미2호, 백미, 생것",곡류 및 그 제품,100,379,10.9,8.9,2.7,76.4,-,-,4,3,-,210,236,21,-,-,-,-
R000021-ZZ-AVG,"멥쌀, 고아미2호, 현미, 생것",곡류 및 그 제품,100,374,10.6,9.6,4.6,73.3,-,-,4,2.8,-,327,396,26,-,-,-,-
R000022-ZZ-AVG,"멥쌀, 농림나1호, 칠분도미, 생것",곡류 및 그 제품,100,370,12.4,5.6,1.9,79.2,-,-,32,-,-,226,298,9,-,-,-,-
R000023-ZZ-AVG,"멥쌀, 농림나1호, 현미, 생것",곡류 및 그 제품,100,371,12.9,5.8,4.8,75.3,-,-,14,0.8,-,305,275,1,-,-,-,-
R000024-ZZ-AVG,"멥쌀, 미국산, 백미, 생것",곡류 및 그 제품,100,365,12.6,5.7,0.2,81.2,-,-,1,1.2,-,33,67,2,-,-,-,-
R000025-ZZ-AVG,"멥쌀, 발아현미, 현미, 생것",곡류 및 그 제품,100,371,10.3,7,2.3,79.4,-,-,8,3.3,-,233,128,3,-,-,-,-
R000026-ZZ-AVG,"멥쌀, 밭벼, 백미, 생것",곡류 및 그 제품,100,357,14.9,9.3,0.9,74.5,-,0.5,5,0.8,23,95,89,1,1.4,0.22,0.59,-
R000027-ZZ-AVG,"멥쌀, 밭벼, 칠분도미, 생것",곡류 및 그 제품,100,358,14.9,9.5,1.5,73.4,-,0.9,6,1.3,45,180,120,1,1.5,0.23,0.78,-
R000028-ZZ-AVG,"멥쌀, 새추청벼, 백미, 생것",곡류 및 그 제품,100,366,12.4,6.1,0.2,80.9,-,-,4,3.8,-,46,469,8,-,-,-,-
R000029-ZZ-AVG,"멥쌀, 수라벼, 백미, 생것",곡류 및 그 제품,100,346,17.2,5.7,0.1,76.7,-,-,6,0.8,-,74,160,17,-,-,-,-
R000030-ZZ-AVG,"멥쌀, 일미벼, 백미, 생것",곡류 및 그 제품,100,372,11.5,7.7,1,79.3,-,-,12,1.1,-,95,114,11,-,-,-,-
R000031-ZZ-AVG,"멥쌀, 일미벼, 현미, 생것",곡류 및 그 제품,100,354,12.5,9,1,76.2,-,-,10,1.7,-,248,289,12,-,-,-,-
R000032-ZZ-AVG,"멥쌀, 일본산, 백미, 생것",곡류 및 그 제품,100,367,12.5,5,0.4,81.8,-,-,1,1,-,39,74,2,-,-,-,-
R000033-ZZ-AVG,"멥쌀, 일품벼, 백미, 생것",곡류 및 그 제품,100,353,15.4,5.7,0.1,78.5,-,-,6,1.4,-,77,92,5,-,-,-,-
R000034-ZZ-AVG,"멥쌀, 일품벼, 현미, 생것",곡류 및 그 제품,100,363,11.5,7.4,2,77.8,-,-,3,1.5,-,262,269,24,-,-,-,-
R000035-ZZ-AVG,"멥쌀, 중국산, 백미, 생것",곡류 및 그 제품,100,361,13.5,6.7,0.4,78.9,-,-,1,1.6,-,44,94,2,-,-,-,-
R000036-ZZ-AVG,"멥쌀, 추청벼, 백미, 생것",곡류 및 그 제품,100,373,10.8,6.7,0.6,81.4,-,5.7,8,0.4,-,131,107,3,-,-,-,-
R000037-ZZ-AVG,"멥쌀, 추청벼, 현미, 생것",곡류 및 그 제품,100,362,12.7,6.4,2.7,76.9,-,-,12,1.1,-,92,263,14,-,-,-,-
R000038-ZZ-AVG,"멥쌀, 큰눈벼, 백미, 생것",곡류 및 그 제품,100,375,10.6,6.3,1,81.4,-,-,3,1.1,-,146,144,19,-,-,-,-
R000039-ZZ-AVG,"멥쌀, 큰눈벼, 현미, 생것",곡류 및 그 제품,100,371,10.5,7.3,3,77.9,-,-,3,1.5,-,278,295,23,-,-,-,-
R000040-ZZ-AVG,"멥쌀, 태국산, 백미, 생것",곡류 및 그 제품,100,366,12.3,7,0.2,80.1,-,-,1,1.6,-,38,101,2,-,-,-,-
R000041-ZZ-AVG,"멥쌀, 통일벼, 백미, 생것",곡류 및 그 제품,100,375,10.3,8.3,0.6,80.3,-,-,11,1.2,-,112,93,3,-,-,-,-
R000042-ZZ-AVG,"멥쌀, 통일벼, 현미, 생것",곡류 및 그 제품,100,362,11.1,8.9,1.6,77.2,-,-,2,3.5,-,232,203,2,-,-,-,-
R000043-ZZ-AVG,"멥쌀, 하이아미, 백미, 생것",곡류 및 그 제품,100,367,12.8,5.5,0.9,80.3,-,-,9,2.9,-,119,120,9,-,-,-,-
R000044-ZZ-AVG,"멥쌀, 향미벼, 백미, 생것",곡류 및 그 제품,100,368,12,7,0.6,79.9,-,-,5,1,-,72,113,4,-,-,-,-
R000045-ZZ-AVG,"멥쌀, 호주산, 백미, 생것",곡류 및 그 제품,100,371,11.3,6.4,0.3,81.7,-,-,1,1.5,-,36,114,2,-,-,-,-
R000046-ZZ-AVG,"멥쌀, 흑미벼, 현미, 생것",곡류 및 그 제품,100,356,13.5,7.59,2.31,75.31,0.67,7.6,19,0.85,113,300,306,4,2.01,0.179,3.68,2.13
R000047-ZZ-AVG,"멥쌀, 흑진주벼, 현미, 생것",곡류 및 그 제품,100,369,10.3,7.9,2.6,77.7,-,7.4,23,2.5,-,373,351,2,-,-,-,-
R000048-ZZ-AVG,"멥쌀, 히토메보레, 백미, 생것",곡류 및 그 제품,100,364,12.8,6.5,0.3,80,-,4.6,7,0.5,-,100,76,3,-,-,-,-
R000049-ZZ-AVG,"멥쌀, 골든퀸3호, 백미, 생것",곡류 및 그 제품,100,354,15.6,6.07,0.67,77.27,0.03,0.9,4,0.25,26,91,73,3,1.65,0.162,0.781,2.09
R000050-ZZ-AVG,"멥쌀, 골든퀸3호, 현미, 생것",곡류 및 그 제품,100,356,13.3,6.16,2.01,77.24,0.5,3.9,9,0.91,109,270,232,1,1.86,0.205,2.822,5.82
R000051-ZZ-AVG,"멥쌀, 호품벼, 백미, 생것",곡류 및 그 제품,100,354,15.8,5.91,0.73,77.2,0.04,0.8,4,0.18,22,88,71,0,1.32,0.194,1.013,2.16
R000052-ZZ-AVG,"멥쌀, 호품벼, 현미, 생것",곡류 및 그 제품,100,343,16.8,6.3,1.94,73.89,0.33,3.5,10,0.82,100,275,224,1,2.05,0.229,2.527,2.02
R000053-ZZ-AVG,멥쌀 과자,곡류 및 그 제품,100,469,2.2,3.2,15.9,78.2,-,-,4,0.9,-,32,11,224,-,-,-,-
R000054-ZZ-AVG,"멥쌀 과자, 튀밥, 팽화",곡류 및 그 제품,100,393,5.6,8.7,3.9,80.7,-,-,5,1,-,228,278,74,-,-,-,-
R000055-ZZ-AVG,"멥쌀 과자, 쌀엿강정, 팽화",곡류 및 그 제품,100,395,3.5,4.11,2.13,89.96,35.58,0,8,0.18,13,55,63,4,0.88,0.12,0.513,2.08
R000056-ZZ-AVG,"멥쌀 국수, 말린것",곡류 및 그 제품,100,340,9.8,9.1,1.5,72.6,-,-,27,1,-,254,405,1964,-,-,-,-
R000057-ZZ-AVG,"멥쌀떡, 가래떡",곡류 및 그 제품,100,213,46.4,3.71,0.37,48.8,0.09,0.7,10,0.14,11,36,29,261,0.86,0.083,0.445,1.43
R000058-ZZ-AVG,"멥쌀떡, 가래떡, 흑미",곡류 및 그 제품,100,205,48.1,3.5,0,47.8,-,-,8,1.3,-,52,46,226,-,-,-,-
R000059-ZZ-AVG,"멥쌀떡, 개피떡",곡류 및 그 제품,100,207,48.7,4.3,0.8,45.6,-,-,17,1.2,-,44,29,155,-,-,-,-
R000060-ZZ-AVG,"멥쌀떡, 개피떡, 쑥",곡류 및 그 제품,100,206,48.8,4.5,0.8,45.2,-,-,24,1.8,-,46,46,157,-,-,-,-
R000061-ZZ-AVG,"멥쌀떡, 꿀떡",곡류 및 그 제품,100,210,48.5,3.09,1.46,46.14,7.39,1.6,25,0.38,14,36,18,248,0.33,0.071,0.178,6.39
R000062-ZZ-AVG,"멥쌀떡, 무지개떡",곡류 및 그 제품,100,229,42.4,3.5,0.3,53,-,0.2,10,1.4,-,41,32,277,-,-,-,-
R000063-ZZ-AVG,"멥쌀떡, 백설기",곡류 및 그 제품,100,245,41.4,3.99,0.52,53.45,9.61,0.5,6,0,12,37,31,212,1.18,0.123,0.385,3.35
R000064-ZZ-AVG,"멥쌀떡, 백설기, 검정콩",곡류 및 그 제품,100,229,43.6,5.75,1.46,48.31,2.2,2.5,19,0.63,23,76,116,223,0.94,0.152,0.484,1.95
R000065-ZZ-AVG,"멥쌀떡, 송편, 검정콩",곡류 및 그 제품,100,200,49.8,6.9,0.8,41.2,-,-,20,1,-,79,179,463,-,-,-,-
R000066-ZZ-AVG,"멥쌀떡, 송편, 팥",곡류 및 그 제품,100,200,49.5,5.4,0.4,43.6,-,-,5,0.5,-,62,108,466,-,-,-,-
R000067-ZZ-AVG,"멥쌀떡, 송편, 깨",곡류 및 그 제품,100,224,46.4,5.9,2.74,44.01,6.44,1.1,31,0.71,30,90,177,173,0.98,0.157,0.47,1.59
R000068-ZZ-AVG,"멥쌀떡, 모싯잎송편, 동부(국내산)",곡류 및 그 제품,100,190,52.2,5.28,0.65,40.64,0,4.2,91,0.88,36,91,139,282,0.75,0.103,1.029,1.17
R000069-ZZ-AVG,"멥쌀떡, 모싯잎송편, 동부(수입산)",곡류 및 그 제품,100,190,52.2,6.03,0.67,39.89,3.18,3.9,85,1.1,37,100,145,242,0.89,0.12,1.014,1.1
R000070-ZZ-AVG,"멥쌀떡, 시루떡",곡류 및 그 제품,100,183,53.7,5.83,0.41,38.94,0.94,3.1,18,0.88,28,85,195,233,0.9,0.138,0.46,2.25
R000071-ZZ-AVG,"멥쌀떡, 절편",곡류 및 그 제품,100,215,46.2,3.69,0.49,49.04,0.1,1,10,0.17,11,37,26,220,0.8,0.103,0.359,2.18
R000072-ZZ-AVG,"멥쌀떡, 증편",곡류 및 그 제품,100,198,50.2,2.99,0.57,45.23,8.95,1.6,8,0.07,16,35,32,289,0.69,0.038,0.372,7.45
R000073-ZZ-AVG,"멥쌀떡, 증편, 건포도, 깨",곡류 및 그 제품,100,191,51.8,3.04,0.29,44.07,9.02,0,9,0.02,11,29,18,241,0.45,0.053,0.284,5.19
R000074-ZZ-AVG,"멥쌀미음, 백미",곡류 및 그 제품,100,21,95,0.3,0,4.7,-,0,tr,tr,1,4,4,tr,0.1,0.01,0.04,1
R000075-ZZ-AVG,"멥쌀미음, 칠분도미",곡류 및 그 제품,100,21,95,0.3,0.1,4.6,-,0,1,tr,2,5,4,tr,0.1,0.01,0.06,-
R000076-ZZ-AVG,"멥쌀미음, 현미",곡류 및 그 제품,100,20,95,0.4,0.1,4.4,-,0.2,1,0.1,6,16,12,tr,0.1,0.01,0.13,-
R000077-ZZ-AVG,"멥쌀밥, 쪄서 말린것",곡류 및 그 제품,100,373,10.9,5.2,0.1,83.7,-,-,44,1.4,-,65,19,29,-,-,-,-
R000078-ZZ-AVG,"멥쌀밥, 누룽지",곡류 및 그 제품,100,393,5.9,6.8,0.2,86.8,-,4.5,18,0.6,-,74,84,6,-,-,-,-
R000079-ZZ-AVG,"멥쌀밥, 백미",곡류 및 그 제품,100,152,63.6,3,0.1,33.2,-,-,2,0.4,-,23,19,3,-,-,-,-
R000080-ZZ-AVG,"멥쌀밥, 칠분도미",곡류 및 그 제품,100,168,60,2.6,0.5,36.7,0.2,0.5,4,0.2,13,44,35,1,0.7,0.11,0.46,1
R000081-ZZ-AVG,"멥쌀밥, 현미",곡류 및 그 제품,100,167,58.5,3.3,0.2,37.3,-,-,3,0.9,-,143,118,2,-,-,-,-
R000082-ZZ-AVG,"멥쌀밥, 농림나1호, 백미",곡류 및 그 제품,100,213,49,2.2,0.1,48.5,-,-,5,0.4,-,58,77,2,-,-,-,-
R000083-ZZ-AVG,"멥쌀밥, 농림나1호, 칠분도미",곡류 및 그 제품,100,205,50.6,2.5,0.2,46.2,-,-,7,1.4,-,144,131,2,-,-,-,-
R000084-ZZ-AVG,"멥쌀밥, 농림나1호, 현미",곡류 및 그 제품,100,201,50.2,2.8,0.2,46.1,-,-,8,0.2,-,166,118,2,-,-,-,-
R000085-ZZ-AVG,"멥쌀밥, 밭벼, 백미",곡류 및 그 제품,100,168,60,3.5,0.3,36.1,-,0.3,3,0.1,7,34,29,1,0.6,0.1,0.26,-
R000086-ZZ-AVG,"멥쌀밥, 밭벼, 칠분도미",곡류 및 그 제품,100,168,60,3.6,0.5,35.7,-,0.5,4,0.2,13,44,35,1,0.7,0.11,0.34,-
R000087-ZZ-AVG,"멥쌀밥, 밭벼, 현미",곡류 및 그 제품,100,164,60,4.1,1,34.3,-,1.4,7,0.6,49,130,95,1,0.8,0.12,0.77,-
R000088-ZZ-AVG,"멥쌀밥, 새추청벼, 백미",곡류 및 그 제품,100,153,63.5,2.5,0.1,33.8,-,-,4,1.4,-,24,178,7,-,-,-,-
R000089-ZZ-AVG,"멥쌀밥, 수라벼, 백미",곡류 및 그 제품,100,159,61.8,2.4,-,35.7,-,-,5,0.3,-,22,126,4,-,-,-,-
R000090-ZZ-AVG,"멥쌀밥, 일품벼, 백미",곡류 및 그 제품,100,156,62.6,2.6,0.1,34.6,-,-,5,1.1,-,24,74,5,-,-,-,-
R000091-ZZ-AVG,"멥쌀밥, 추청벼, 백미",곡류 및 그 제품,100,151,63.8,2.4,-,33.7,-,-,4,0.2,-,23,48,5,-,-,-,-
R000092-ZZ-AVG,"즉석밥, 누룽지",곡류 및 그 제품,100,415,1.1,6.64,0.84,90.98,1.14,3.7,12,0.19,14,86,92,70,1.88,0.198,0.973,4.21
R000093-ZZ-AVG,"즉석밥, 누룽지, 끓는물 부음",곡류 및 그 제품,100,69,83.4,1.32,0.1,15.06,1.15,0.5,4,0.08,2,12,13,13,0.34,0.028,0.138,0.61
R000094-ZZ-AVG,"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",곡류 및 그 제품,100,150,62.5,2.83,0.38,33.76,0.03,0.7,9,0.24,9,39,41,159,0.87,0.051,0.403,3.09
R000095-ZZ-AVG,"즉석밥, 백미",곡류 및 그 제품,100,152,63.9,2.11,0.28,33.59,1.04,1.2,5,0.07,3,21,18,1,0.73,0.058,0.253,0.25
R000096-ZZ-AVG,"멥쌀죽, 백미",곡류 및 그 제품,100,71,82.9,1.4,0,15.6,-,-,2,0.7,-,13,6,3,-,-,-,-
R000097-ZZ-AVG,"멥쌀죽, 현미",곡류 및 그 제품,100,70,83,1.2,0.4,15.2,-,0.6,3,0.2,21,55,41,1,0.3,0.05,0.44,-
R000098-ZZ-AVG,"멥쌀죽, 칠분도미",곡류 및 그 제품,100,71,83,1.1,0.2,15.6,-,0.2,2,0.1,6,19,15,tr,0.3,0.04,0.19,-
R000099-ZZ-AVG,"밀, 통밀, 생것",곡류 및 그 제품,100,342,9.2,13.2,1.5,74.6,-,16,24,5.2,-,290,780,-,-,-,-,-
R000100-ZZ-AVG,"밀, 도정, 생것",곡류 및 그 제품,100,333,10.6,10.6,1,75.8,-,-,52,4.7,-,254,538,17,-,-,-,-
R000101-ZZ-AVG,"밀, 강력밀가루",곡류 및 그 제품,100,334,12,13.59,1.11,72.89,0,2.5,17,0.64,29,104,95,1,0.76,0.125,0.392,25
R000102-ZZ-AVG,"밀, 금강밀, 도정, 생것",곡류 및 그 제품,100,329,13.3,13.06,1.28,71.7,0,3.3,14,2.36,38,155,143,1,1.51,0.162,1.404,3.69
R000103-ZZ-AVG,"밀, 도우넛가루",곡류 및 그 제품,100,404,8.4,8.5,6.8,73.9,-,-,72,0.5,-,304,157,778,-,-,-,-
R000104-ZZ-AVG,"밀, 박력밀가루",곡류 및 그 제품,100,374,11.8,9.15,0.94,77.73,0,2.1,18,0.51,19,83,116,1,0.4,0.09,0.737,15.3
R000106-ZZ-AVG,"밀, 부침가루",곡류 및 그 제품,100,368,11.5,9.8,0.98,75.52,3.49,2.5,32,0.58,24,154,140,786,0.68,0.084,0.636,13.81
R000107-ZZ-AVG,"밀, 빵가루",곡류 및 그 제품,100,392,7.8,11.95,2.05,77.04,4.74,4.2,21,0.77,30,105,134,306,0.81,0.108,0.635,14.5
R000108-ZZ-AVG,"밀, 신미찰밀, 도정, 생것",곡류 및 그 제품,100,334,11.5,11.3,1.6,74.2,-,-,24,5.9,-,296,319,6,-,-,-,-
R000109-ZZ-AVG,"밀, 중력밀가루",곡류 및 그 제품,100,375,11.6,10.34,1.01,76.64,0,2.7,17,0.73,25,86,115,1,0.44,0.099,0.617,25.53
R000111-ZZ-AVG,"밀, 통밀가루 ",곡류 및 그 제품,100,365,14.1,11.9,1.6,71.5,-,3.7,26,3,-,189,229,5,-,-,-,-
R000112-ZZ-AVG,"밀, 튀김가루",곡류 및 그 제품,100,367,10.7,7.22,0.8,78.41,0,2.2,72,0.89,18,330,137,876,0.97,0.071,0.618,16.28
R000113-ZZ-AVG,"밀, 팬케이크가루",곡류 및 그 제품,100,394,8.9,7.9,4.9,75.9,-,-,102,0.4,-,237,144,735,-,-,-,-
R000114-ZZ-AVG,"밀, 흑밀, 도정, 생것",곡류 및 그 제품,100,328,12.1,12.9,0.9,72.5,-,-,37,5,-,336,368,6,-,-,-,-
R000115-ZZ-AVG,"밀, 호라산, 말린것",곡류 및 그 제품,100,334,11.6,13.74,1.91,71.16,5.29,11.9,24,3.32,142,376,417,3,4.74,0.528,2.742,163.55
R000116-ZZ-AVG,"과자, 건빵",곡류 및 그 제품,100,419,4.2,9.92,8.67,75.37,16.84,6.9,23,1.55,42,144,177,457,0.88,0.126,1.277,26.09
R000117-ZZ-AVG,"과자, 만주, 밤",곡류 및 그 제품,100,330,19.6,6.35,2.39,70.86,42.45,4.5,43,1.48,24,133,78,158,0.59,0.099,0.703,16.7
R000118-ZZ-AVG,"과자, 모나카",곡류 및 그 제품,100,346,13.3,3.35,0.29,82.62,36.58,2.4,21,1.29,16,47,89,64,0.42,0.073,0.446,7.04
R000119-ZZ-AVG,"과자, 비스킷, 하드",곡류 및 그 제품,100,534,0.7,6.68,28.58,62.63,9.21,2.1,42,6.99,18,92,111,481,0.22,0.05,0.582,26.01
R000120-ZZ-AVG,"과자, 비스킷, 소프트",곡류 및 그 제품,100,489,7.7,5.7,24.93,60.34,23.46,2.1,184,3.27,17,113,107,227,0.17,0.038,0.289,37.65
R000121-ZZ-AVG,"과자, 사과파이",곡류 및 그 제품,100,471,7.8,5.5,21,64.98,22.83,1.9,11,0.41,16,58,60,207,0.28,0.059,0.213,28.61
R000122-ZZ-AVG,"과자, 전병",곡류 및 그 제품,100,398,4.3,7.5,3.5,84,-,1.1,25,0.9,14,93,110,130,0.7,0.2,0.35,12
R000123-ZZ-AVG,"과자, 김전병",곡류 및 그 제품,100,420,3,6.7,6.9,82.8,-,-,15,0.6,-,108,76,150,-,-,-,-
R000124-ZZ-AVG,"과자, 스넥, 새우",곡류 및 그 제품,100,494,2.9,6.04,22.77,66.32,4,2.5,137,1.14,22,84,91,577,0.32,0.071,0.488,10.31
R000126-ZZ-AVG,"과자, 스넥, 옥수수",곡류 및 그 제품,100,520,1.1,5.25,26.27,65.73,2.01,1.1,163,1.01,29,41,81,420,0.24,0.022,0.088,8.61
R000127-ZZ-AVG,"과자, 약과",곡류 및 그 제품,100,422,11,3.8,13.3,71.7,-,-,5,2.6,-,42,47,34,-,-,-,-
R000128-ZZ-AVG,"과자, 대추꿀약과",곡류 및 그 제품,100,428,13.3,4.5,16.3,65.7,-,-,8,0.3,-,46,65,18,-,-,-,-
R000129-ZZ-AVG,"과자, 와플 ",곡류 및 그 제품,100,291,42,7.9,14.1,32.9,-,-,255,2.31,19,190,159,511,0.68,0.062,0.265,46.2
R000130-ZZ-AVG,"과자, 잼 와플",곡류 및 그 제품,100,287,33,4.8,4.2,57.3,-,1.3,53,0.5,11,84,130,51,0.4,0.05,0.21,-
R000131-ZZ-AVG,"과자, 커스터드 크림 와플",곡류 및 그 제품,100,252,45.9,7.3,7.9,38.1,-,-,95,0.8,12,150,160,65,0.8,0.06,-,-
R000132-ZZ-AVG,"과자, 바닐라 웨하스",곡류 및 그 제품,100,521,2.6,4.1,26.9,65.6,-,-,33,0.5,-,72,100,131,-,-,-,-
R000133-ZZ-AVG,"과자, 초코볼",곡류 및 그 제품,100,501,1.5,4.3,22.5,70.2,-,-,119,2,-,119,258,54,-,-,-,-
R000134-ZZ-AVG,"과자, 초코파이",곡류 및 그 제품,100,428,11.4,4.29,15.57,67.59,31.18,2.1,132,5.2,29,97,135,224,0.42,0.137,0.419,6.59
R000135-ZZ-AVG,"과자, 쿠키, 통밀",곡류 및 그 제품,100,471,1.9,6.48,17.17,72.73,17.18,17.1,17,0.64,21,83,123,652,0.76,0.077,0.574,5.3
R000136-ZZ-AVG,"과자, 쿠키, 땅콩버터",곡류 및 그 제품,100,493,1.6,8.36,20.87,67.97,22.42,2.4,17,0.84,35,112,145,346,0.5,0.119,0.692,28.21
R000137-ZZ-AVG,"과자, 쿠키, 초코칩",곡류 및 그 제품,100,494,1,5.92,20.55,71.38,23.18,3,39,1.59,31,110,196,312,0.41,0.137,0.531,20.65
R000138-ZZ-AVG,"과자, 쿠키, 버터",곡류 및 그 제품,100,512,1.8,6.37,24.52,66.47,16.45,1.4,28,0.84,14,87,91,226,0.76,0.054,0.407,20.05
R000139-ZZ-AVG,"과자, 크랙커",곡류 및 그 제품,100,513,4,7,27.8,58.8,-,-,136,1.8,-,239,44,634,-,-,-,-
R000140-ZZ-AVG,"과자, 크랙커, 땅콩샌드",곡류 및 그 제품,100,524,0.9,7.66,26.24,64.23,14.64,2.1,35,0.76,38,128,191,195,0.65,0.116,0.858,10.65
R000141-ZZ-AVG,"과자, 크랙커, 치즈샌드",곡류 및 그 제품,100,497,1.7,6.08,22.23,68.24,14.69,1.9,53,0.66,15,113,128,539,0.3,0.054,0.402,14.57
R000142-ZZ-AVG,"과자, 크랙커, 채소",곡류 및 그 제품,100,506,0.4,7.38,22.62,68.26,12.12,1.8,65,0.76,18,142,121,394,0.36,0.067,0.66,14.5
R000143-ZZ-AVG,"과자, 피칸파이",곡류 및 그 제품,100,360,30.9,8,17.2,43.2,-,-,44,1.4,-,128,121,90,-,-,-,-
R000144-ZZ-AVG,"과자, 뻥튀기, 원반 모양, 팽화",곡류 및 그 제품,100,383,4.9,11.06,1.07,82.29,1.74,2,21,0.81,27,76,135,112,0.28,0.096,0.5,12.83
R000145-ZZ-AVG,"과자, 마카로니 과자, 튀긴것",곡류 및 그 제품,100,457,1.6,11.5,13.96,71.28,1.34,5.1,24,1.81,43,127,160,497,0.98,0.16,1.167,23.95
R000146-ZZ-AVG,"국수, 생것",곡류 및 그 제품,100,291,30.5,7.25,0.87,60.09,7.39,1.8,13,0.4,12,49,93,395,0.25,0.039,0.354,56.17
R000149-ZZ-AVG,"국수, 소면, 말린것",곡류 및 그 제품,100,370,10,10.36,1.27,74.86,1.93,2,19,0.82,25,96,125,1274,0.44,0.09,0.532,93
R000150-ZZ-AVG,"국수, 소면, 말린것, 삶은것",곡류 및 그 제품,100,126,70.4,3.55,0.48,25.31,0,1.5,7,0.28,6,26,5,68,0.16,0.036,0.182,17.89
R000151-ZZ-AVG,"국수, 우동, 생것",곡류 및 그 제품,100,164,61.9,3.33,1.25,33.09,0,1.9,10,0.17,4,21,16,142,0.13,0.019,0.186,4.25
R000152-ZZ-AVG,"국수, 우동, 생것, 삶은것",곡류 및 그 제품,100,139,67.2,2.95,0.46,29.12,0,1.6,8,0.14,2,17,8,78,0.12,0.015,0.125,4.67
R000153-ZZ-AVG,"국수, 중국국수, 생면",곡류 및 그 제품,100,281,33,8.6,1.2,55.7,1,2.1,21,0.5,13,66,350,410,0.4,0.09,0.35,33
R000154-ZZ-AVG,"국수, 중국국수, 생면, 삶은것",곡류 및 그 제품,100,149,65,4.9,0.6,29.2,0.1,1.3,20,0.3,7,29,60,70,0.2,0.05,0.18,17
R000155-ZZ-AVG,"국수, 중국국수, 말린것",곡류 및 그 제품,100,356,10,10.3,5.2,67.1,-,2.3,110,0.8,25,110,260,2700,0.4,0.11,0.66,8
